health,time,maze_algorithm,maze_size,token,created_at
25,116,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:48:34 UTC
-5,39,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ1NjIsImp0aSI6IjA2MWZiYTM3LThiNjctNDk4Ny05ZmRlLWViY2ZhODAxMDk1OCJ9.,2023-08-09 09:50:15 UTC
-5,73,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQxOTYsImp0aSI6IjZiMWMwODIwLWI5YTQtNGRkYi1hY2Y0LTVhMTNiMmE2YmE0YiJ9.,2023-08-09 09:50:16 UTC
-5,27,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ2MzEsImp0aSI6ImRjY2JlMjZiLTMxNGYtNDdjZS1hMTM3LTBkZWY3NTQwZmVhZiJ9.,2023-08-09 09:51:05 UTC
-5,101,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ2MTksImp0aSI6ImM0ZjZjYzQyLTZmOGEtNDQ5Yi1iZTE1LTU2MjgwYTc4NDhlOCJ9.,2023-08-09 09:52:03 UTC
55,127,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3MzAsImp0aSI6ImQzYjk4ZjdiLTYwNTgtNDEyNS04ODlmLWY2YjlkZDRjMzI1NiJ9.,2023-08-09 09:54:43 UTC
-5,117,,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3NzYsImp0aSI6IjU2MmUyZWQzLTg4YTktNGNhNi05NGM0LTY0MDYwYjk3MzgxMiJ9.,2023-08-09 09:55:00 UTC
20,4,mazeTest,,jamesTest,2023-08-10 07:37:48 UTC
85,64,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NTMwOTcsImp0aSI6ImY1OGQ5ZTEyLTUwYTItNGJiNi1iMzU1LTk2MDI5NGNjNTcyOCJ9.,2023-08-10 07:39:34 UTC
100,88,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NTc1ODAsImp0aSI6IjViZTJlZWNiLTU0Y2YtNDhlMi1hOTMxLTk1M2YyYTFjZGZhNyJ9.,2023-08-10 08:54:40 UTC
40,114,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NjA4NzYsImp0aSI6ImJiMTgzMGMzLTAzYjQtNDMyMS1hNDYwLTMxZTVhMjk4OWFiMSJ9.,2023-08-10 09:52:46 UTC
55,157,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NjgzMTAsImp0aSI6IjgzNjcyZGRhLWM0MWYtNDYzZi1hYjM3LTgwN2VkNmMxNTBkNiJ9.,2023-08-10 11:56:15 UTC
70,77,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Njg3MjAsImp0aSI6ImM0ZGNjMTgwLWJmMWMtNDhlMS04MjRiLTBlNGU5ZmU3NjQzNSJ9.,2023-08-10 12:00:15 UTC
55,164,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Njg5NjcsImp0aSI6IjE4MzlhZmVhLTBjNmEtNDFhMi1iOTc3LTQ3YjUxMjUzOWQwMyJ9.,2023-08-10 12:05:39 UTC
-5,163,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzgyNTYsImp0aSI6IjU1ZGY1OTg5LTQyNGMtNGQ4My04YjNhLWIxZmU1YTBjZWQwYiJ9.,2023-08-10 14:40:25 UTC
-5,47,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg0MjYsImp0aSI6IjAxZWE1MWI0LTE3NzEtNDI4Ni1iMTNkLTk2MGVlN2UxY2YzNyJ9.,2023-08-10 14:41:21 UTC
100,128,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:00 UTC
25,65,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:01 UTC
70,155,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NDgzOTAsImp0aSI6ImYyYzJjMWIyLTdlMGQtNDVjYS1iYTY2LWRhYzhiN2QyZDQ1YiJ9.,2023-08-11 10:09:15 UTC
100,105,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTIwNjAsImp0aSI6ImU2NjJiM2NiLTEwMDYtNDY1ZS04MzdlLWY1MDllYjRjNjUzZSJ9.,2023-08-11 11:16:19 UTC
100,22,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTI3MTAsImp0aSI6IjEzOWYwYzlhLWZiZGEtNGY4MS1hZjAwLWQwYzEwNDExYTI1OSJ9.,2023-08-11 11:21:48 UTC
85,44,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTM0MTIsImp0aSI6IjkzMDgxMGNiLTgyZWEtNGQxNC05NTQ4LTMxNDkxNTBkMGU4ZiJ9.,2023-08-11 11:32:02 UTC
10,183,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTc1MzksImp0aSI6IjZlN2NlZWZiLTVlN2UtNDUwMy1hNWI1LWMwOGE5NjYyNzJhZiJ9.,2023-08-11 12:44:10 UTC
85,129,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTc5MTMsImp0aSI6ImEzOWE1YjJiLTcxMTItNDY1Yy04MDg2LTAwNjU3YTBlZjY4YSJ9.,2023-08-11 12:48:03 UTC
-5,30,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTgyNzAsImp0aSI6ImEyMGYxYmI5LWFhMjktNDgwZS04YWVjLTFkOGY5MzAxM2I1OCJ9.,2023-08-11 12:52:18 UTC
-5,43,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTgzNDMsImp0aSI6IjI1ZGU4MzY4LTJhN2QtNDk1Ny1hZjgyLWRiYjhlNDAxMzViYyJ9.,2023-08-11 12:53:17 UTC
-5,47,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTg0MDcsImp0aSI6IjZkNmE1YWY2LTg0YzQtNDE4Mi04MGUyLTIxNTZkMjFkZDRkNCJ9.,2023-08-11 12:54:30 UTC
-5,47,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTg0NzIsImp0aSI6IjI5MThiZWE0LTBmYWMtNDA2ZC1iNDdkLTc5OGJhYjQ0MTBkYiJ9.,2023-08-11 12:55:31 UTC
-5,35,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTg1MzUsImp0aSI6IjNlZDk0ZTJmLTk1ZDQtNGMyYy1hYzIxLTZlMDA5NTNhZWEzOCJ9.,2023-08-11 12:56:16 UTC
-5,55,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTg1NzksImp0aSI6ImJmMGI4NWIzLWQ4NjMtNDQyZS1hMDAyLWE1MGQ3NWU5MzZkOSJ9.,2023-08-11 12:57:17 UTC
-5,94,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NTg2NDEsImp0aSI6ImI1MDZhOTE4LTM5MzUtNGMzZi04OTE5LTY5MjFiNWZlMGU2NyJ9.,2023-08-11 12:59:18 UTC
40,112,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NjY1OTAsImp0aSI6ImE2NmVjOWU1LTM5ZmMtNDI1NC1iYjU2LWYwOTQxN2ViZmI1NiJ9.,2023-08-11 15:24:03 UTC
