kills,actions,timer,hits_taken,total_damage_taken,hit_miss_ratio,token,created_at
0.0,0,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:48:39 UTC
1.0,12,10,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:48:46 UTC
2.0,21,15,0.0,0.0,0.6875,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:48:51 UTC
3.0,36,20,1.0,15.0,0.5909091,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:48:56 UTC
5.0,52,25,1.0,15.0,0.6111111,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:49:01 UTC
7.0,67,30,1.0,15.0,0.56,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQzMjIsImp0aSI6ImNlZmU5MDM1LTlkMGQtNDYyOS05MzdiLWU3YWJiYTIyYzg3YSJ9.,2023-08-09 09:49:06 UTC
0.0,2,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3MzAsImp0aSI6ImQzYjk4ZjdiLTYwNTgtNDEyNS04ODlmLWY2YjlkZDRjMzI1NiJ9.,2023-08-09 09:54:48 UTC
1.0,9,10,1.0,15.0,1.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3MzAsImp0aSI6ImQzYjk4ZjdiLTYwNTgtNDEyNS04ODlmLWY2YjlkZDRjMzI1NiJ9.,2023-08-09 09:54:53 UTC
1.0,16,15,1.0,15.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3MzAsImp0aSI6ImQzYjk4ZjdiLTYwNTgtNDEyNS04ODlmLWY2YjlkZDRjMzI1NiJ9.,2023-08-09 09:54:58 UTC
3.0,32,20,1.0,15.0,0.6470588,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1NzQ3MzAsImp0aSI6ImQzYjk4ZjdiLTYwNTgtNDEyNS04ODlmLWY2YjlkZDRjMzI1NiJ9.,2023-08-09 09:55:03 UTC
0.0,1,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:01 UTC
0.0,5,10,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:06 UTC
1.0,9,15,0.0,0.0,0.6666667,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:11 UTC
1.0,20,20,0.0,0.0,0.5,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:16 UTC
4.0,36,25,0.0,0.0,0.6153846,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:21 UTC
5.0,51,30,0.0,0.0,0.5555556,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:26 UTC
8.0,65,35,3.0,67.95256,0.5925926,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:31 UTC
8.0,81,40,3.0,67.95256,0.5423729,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODEzNTksImp0aSI6ImUyNDQ0ZDg4LTBmZDMtNDJkZS04NTAzLTM5NDY4M2E1NGMyNiJ9.,2023-08-09 11:44:36 UTC
0.0,1,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODE0OTYsImp0aSI6IjA0NGQzN2M3LTMxOTktNGQ5My1iODc1LWIwYjRhMGU1NzRmZSJ9.,2023-08-09 11:46:33 UTC
0.0,3,10,1.0,15.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODE0OTYsImp0aSI6IjA0NGQzN2M3LTMxOTktNGQ5My1iODc1LWIwYjRhMGU1NzRmZSJ9.,2023-08-09 11:46:38 UTC
0.0,4,15,2.0,35.33519,1.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODE0OTYsImp0aSI6IjA0NGQzN2M3LTMxOTktNGQ5My1iODc1LWIwYjRhMGU1NzRmZSJ9.,2023-08-09 11:46:43 UTC
3.0,14,20,2.0,35.33519,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODE0OTYsImp0aSI6IjA0NGQzN2M3LTMxOTktNGQ5My1iODc1LWIwYjRhMGU1NzRmZSJ9.,2023-08-09 11:46:48 UTC
